OBJECTID,Sample_Date,Site_ID,Vol_Moist_m3,Vol_Moist_2,Gravimet_soil_moist_g_g
499,2012/07/14,84-16,0.18,0.16,0.13
500,2012/06/07,85-1,0.13,0.15,0.15
501,2012/07/17,85-2,0.39,0.39,0.39
502,2012/06/12,85-3,0.43,0.43,0.43
503,2012/06/15,85-4,0.39,0.41,0.41
504,2012/06/17,85-5,0.45,0.44,0.44
505,2012/06/23,85-7,0.38,0.4,0.4
506,2012/06/25,85-8,0.3,0.33,0.33
507,2012/06/27,85-9,0.26,0.23,0.24
508,2012/07/08,85-13,0.44,0.36,0.36
509,2012/07/10,85-14,0.31,0.25,0.25
510,2012/07/13,85-15,0.3,0.34,0.34
511,2012/07/14,85-16,0.27,0.34,0.34
512,2012/06/07,91-1,0.03,0.04,0.03
513,2012/06/09,91-2,0.15,0.16,0.14
514,2012/07/17,91-2,0.15,0.16,0.14
515,2012/06/12,91-3,0.24,0.21,0.18
516,2012/07/19,91-3,0.13,0.14,0.12
517,2012/06/15,91-4,0.21,0.2,0.17
518,2012/06/17,91-5,0.22,0.23,0.2
519,2012/06/23,91-7,0.21,0.25,0.21
520,2012/06/25,91-8,0.31,0.26,0.23
521,2012/06/27,91-9,0.18,0.15,0.13
522,2012/07/05,91-12,0.15,0.18,0.15
523,2012/07/08,91-13,0.18,0.19,0.16
524,2012/07/10,91-14,0.1,0.11,0.09
525,2012/07/13,91-15,0.14,0.13,0.11
526,2012/07/14,91-16,0.11,0.11,0.09
527,2012/06/07,92-1,0.08,0.08,0.09
528,2012/07/17,92-2,0.26,0.28,0.32
529,2012/06/12,92-3,0.39,0.39,0.44
530,2012/06/15,92-4,0.32,0.34,0.31
531,2012/06/17,92-5,0.37,0.35,0.32
532,2012/06/22,92-6,0.3,0.26,0.24
533,2012/06/23,92-7,0.2,0.18,0.17
534,2012/06/25,92-8,0.22,0.19,0.18
535,2012/06/29,92-10,0.12,0.14,0.13
536,2012/07/03,92-11,0.17,0.17,0.16
537,2012/07/05,92-12,0.23,0.23,0.22
538,2012/07/08,92-13,0.08,0.09,0.09
539,2012/07/10,92-14,0.1,0.11,0.1
540,2012/07/13,92-15,0.23,0.25,0.28
541,2012/07/14,92-16,0.26,0.23,0.26
542,2012/06/07,93-1,0.06,0.06,0.05
543,2012/07/17,93-2,0.18,0.17,0.14
544,2012/06/12,93-3,0.4,0.39,0.33
